6.46,5.91,4.40,4.41,4.01,4.23,5.01,,,,,,,,,,,,
6.05,6.35,4.85,5.41,5.82,4.42,5.85,,,,,,,,,,,,
4.06,5.08,3.61,4.69,4.55,3.14,3.61,,,,,,,,,,,,
5.88,5.47,4.75,5.15,4.83,5.71,5.50,,,,,,,,,,,,
4.61,5.44,3.90,4.55,6.55,3.57,4.35,,,,,,,,,,,,
5.33,7.49,4.78,5.78,6.47,5.56,7.03,,,,,,,,,,,,
6.99,7.54,4.24,5.50,4.89,5.07,5.34,,,,,,,,,,,,
4.24,6.01,5.00,4.38,5.07,3.62,5.03,,,,,,,,,,,,
3.25,5.17,3.48,4.94,4.66,3.64,3.72,,,,,,,,,,,,
5.48,7.40,5.20,5.82,5.50,5.03,6.24,,,,,,,,,,,,
5.31,5.79,4.23,5.45,5.65,4.42,4.64,,,,,,,,,,,,
4.15,5.71,3.73,5.10,4.28,3.71,4.66,,,,,,,,,,,,
6.55,7.31,5.89,6.05,7.50,6.46,5.45,,,,,,,,,,,,
4.78,5.95,4.60,5.43,5.50,4.33,4.20,,,,,,,,,,,,
5.91,7.40,4.89,5.42,6.40,7.66,6.74,,,,,,,,,,,,
4.70,6.06,4.31,4.39,5.92,4.08,4.87,,,,,,,,,,,,
6.74,7.39,5.18,6.63,6.85,5.02,6.54,,,,,,,,,,,,
6.15,4.96,4.81,4.39,4.33,4.26,5.11,,,,,,,,,,,,
12.01,7.34,6.06,5.29,5.92,5.33,6.39,,,,,,,,,,,,
6.95,6.67,4.87,5.54,4.56,4.30,5.52,,,,,,,,,,,,
4.67,5.38,4.77,5.25,6.21,4.22,5.33,,,,,,,,,,,,
4.44,5.26,4.41,4.82,3.80,3.87,4.27,,,,,,,,,,,,
5.15,4.50,3.21,4.69,5.73,3.36,4.01,,,,,,,,,,,,
6.05,6.17,4.92,5.62,4.56,4.81,6.26,,,,,,,,,,,,
4.26,4.65,3.32,3.93,4.76,3.86,4.34,,,,,,,,,,,,
3.76,5.27,4.21,4.94,5.09,4.22,5.27,,,,,,,,,,,,
6.79,7.18,5.29,5.43,6.32,6.33,6.61,,,,,,,,,,,,
4.71,5.37,4.80,5.26,4.71,4.71,3.99,,,,,,,,,,,,
